Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
JTG,Mei-Po Kwan,Board,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Dawn Wright,Board,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Qing Zhu,Board,Male,China,1995,No,,,,,,,,,,,,,,,,,,,
CEUS,Ross Purves,Board,Male,Switzerland,1995,No,,,,,,,,,,,,,,,,,,,
IJGIS,Nicholas Tate,Board,Male,UK,1995,Yes,,,,,,,,,,,,,,,,,,,
PSP,Clare Holdsworth,Board,Female,UK,1995,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Alan Murray,Board,Male,USA,1995,Yes,,,,,,,,,,,,,,,,,,,
EPB,Emily Talen,Board,Female,USA,1995,Yes,,,,,,,,,,,,,,,,,,,
GA,Alan Murray,Board,Male,USA,1995,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Alan Murray,Board,Male,USA,1995,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Alan Murray,Board,Male,USA,1995,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Graciela Metternicht,Board,Female,Australia,1996,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Xia Li,Board,Male,China,1996,No,,,,,,,,,,,,,,,,,,,
CEUS,Alexander Zipf,Board,Male,Germany,1996,No,,,,,,,,,,,,,,,,,,,
CEUS,Juergen Doellner,Board,Male,Germany,1996,No,,,,,,,,,,,,,,,,,,,
IJGIS,Francis Harvey,Board,Male,Germany,1996,No,,,,,,,,,,,,,,,,,,,
CEUS,Stan Geertman,Board,Male,Netherlands,1996,No,,,,,,,,,,,,,,,,,,,
JTG,Dick Ettema,Board,Male,Netherlands,1996,No,,,,,,,,,,,,,,,,,,,
CEUS,Bin Jiang,Board,Male,Sweden,1996,No,,,,,,,,,,,,,,,,,,,
JGS,Andrés Rodríguez-Pose,Editor in Chief,Male,UK,1996,Yes,,,,,,,,,,,,,,,,,,,
EPB,Luis Bettencourt,Board,Male,USA,1996,Yes,,,,,,,,,,,,,,,,,,,
JGS,Petra Staufer-Steinnocher,Associate Editor,Female,Austria,1997,No,,,,,,,,,,,,,,,,,,,
IJGIS,Renee Sieber,Board,Female,Canada,1997,Yes,,,,,,,,,,,,,,,,,,,
JTG,Laetitia Dablanc,Board,Female,France,1997,No,,,,,,,,,,,,,,,,,,,
IJGIS,Bo Huang,Associate Editor,Male,Hong Kong,1997,No,,,,,,,,,,,,,,,,,,,
JTG,Becky Loo,Associate Editor,Female,Hong Kong,1997,No,,,,,,,,,,,,,,,,,,,
IJGIS,Chiara Renso,Board,Female,Italy,1997,No,,,,,,,,,,,,,,,,,,,
JTG,Markus Hesse,Board,Male,Luxembourg,1997,No,,,,,,,,,,,,,,,,,,,
JTG,Karen Lucas,Board,Female,UK,1997,Yes,,,,,,,,,,,,,,,,,,,
PSP,Hill Kulu,Board,Male,UK,1997,Yes,,,,,,,,,,,,,,,,,,,
PSP,Darren Smith,Editor in Chief,Male,UK,1997,Yes,,,,,,,,,,,,,,,,,,,
GA,Elizabeth Wentz,Associate Editor,Female,USA,1997,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Scott Mackay,Board,Male,USA,1997,Yes,,,,,,,,,,,,,,,,,,,
JTG,Frank Witlox,Editor in Chief,Male,Belgium,1998,No,,,,,,,,,,,,,,,,,,,
TGIS,Guo-an Tang,Board,Male,China,1998,No,,,,,,,,,,,,,,,,,,,
IJGIS,Christophe Claramunt,Associate Editor,Male,France,1998,No,,,,,,,,,,,,,,,,,,,
JTG,Donggen Wang,Board,Male,Hong Kong,1998,No,,,,,,,,,,,,,,,,,,,
IJGIS,Michael Bertolotto,Associate Editor,Female,Ireland,1998,Yes,,,,,,,,,,,,,,,,,,,
JGS,Gianmarco Ottaviano,Board,Male,Italy,1998,No,,,,,,,,,,,,,,,,,,,
PSP,Etienne Piguet,Board,Male,Switzerland,1998,No,,,,,,,,,,,,,,,,,,,
CEUS,Sarah Lindley,Board,Female,UK,1998,Yes,,,,,,,,,,,,,,,,,,,
JTG,Iain Docherty,Board,Male,UK,1998,Yes,,,,,,,,,,,,,,,,,,,
JTG,Kurt Fuellhart,Board,Male,USA,1998,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Laxmi Ramasubramanian,Board,Female,USA,1998,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Matt Duckham,Board,Male,Australia,1999,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Matt Duckham,Board,Male,Australia,1999,Yes,,,,,,,,,,,,,,,,,,,
